period,source_pdf,verified_source
2024Q1,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2024-04/34ff75e23e53246302ce3a8d90d0423c57c6b120/TSMC%201Q24%20Transcript.pdf,https://investor.tsmc.com/english/quarterly-results/2024/q1
2025Q4,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-01/51d09df96cd89ac19d65af39032b038dc2896a24/TSMC%204Q25%20Transcript.pdf,https://investor.tsmc.com/english/quarterly-results/2025/q4
